Distance in bp(Fragment Length Estimate: 189)(Peak Width Estimate: 189)	Same Strand (+ for Watson strand, - for Crick)	Opposite Strand
-1010	121511.0	120246.0
-1009	121675.0	119754.0
-1008	121559.0	119916.0
-1007	121094.0	119667.0
-1006	121211.0	119630.0
-1005	120808.0	119207.0
-1004	121242.0	120094.0
-1003	121343.0	119216.0
-1002	121347.0	119929.0
-1001	121225.0	119788.0
-1000	121524.0	119913.0
-999	121199.0	119829.0
-998	121542.0	119839.0
-997	121712.0	119895.0
-996	120814.0	120610.0
-995	121215.0	119344.0
-994	121065.0	120471.0
-993	121046.0	119730.0
-992	121696.0	120343.0
-991	121331.0	120272.0
-990	121323.0	119843.0
-989	121353.0	120158.0
-988	121367.0	119842.0
-987	121868.0	120318.0
-986	121365.0	120837.0
-985	121617.0	120324.0
-984	121287.0	120414.0
-983	121753.0	120218.0
-982	121726.0	120319.0
-981	122193.0	120285.0
-980	121575.0	120105.0
-979	121693.0	120482.0
-978	121580.0	120910.0
-977	121941.0	120596.0
-976	121874.0	119874.0
-975	121636.0	120365.0
-974	121606.0	120647.0
-973	121709.0	120636.0
-972	122079.0	119826.0
-971	121460.0	120337.0
-970	121946.0	119959.0
-969	121209.0	120418.0
-968	121728.0	119214.0
-967	121911.0	119823.0
-966	121916.0	120530.0
-965	121871.0	119946.0
-964	121477.0	120068.0
-963	122002.0	120407.0
-962	121702.0	120758.0
-961	121565.0	120720.0
-960	121411.0	120427.0
-959	122096.0	120726.0
-958	121828.0	120485.0
-957	121501.0	120725.0
-956	121875.0	120365.0
-955	122205.0	120150.0
-954	121663.0	120185.0
-953	122288.0	120692.0
-952	122360.0	120652.0
-951	121908.0	120518.0
-950	121738.0	120585.0
-949	121242.0	120701.0
-948	122125.0	120131.0
-947	121613.0	120507.0
-946	121959.0	120740.0
-945	121766.0	120509.0
-944	122160.0	119807.0
-943	122040.0	120436.0
-942	122102.0	120791.0
-941	121710.0	120531.0
-940	122057.0	120683.0
-939	122229.0	120592.0
-938	121689.0	120931.0
-937	121842.0	120504.0
-936	122238.0	120183.0
-935	121662.0	120691.0
-934	122733.0	120335.0
-933	121316.0	120932.0
-932	122136.0	121120.0
-931	122254.0	121209.0
-930	121951.0	120666.0
-929	121694.0	120945.0
-928	121800.0	120829.0
-927	122005.0	120875.0
-926	121921.0	121289.0
-925	122149.0	120636.0
-924	121387.0	120951.0
-923	121513.0	120502.0
-922	122082.0	120525.0
-921	122643.0	120983.0
-920	121958.0	120968.0
-919	122167.0	120507.0
-918	122202.0	121896.0
-917	121891.0	120788.0
-916	122629.0	120768.0
-915	122045.0	121221.0
-914	122310.0	120317.0
-913	122595.0	120779.0
-912	122090.0	120343.0
-911	122187.0	120655.0
-910	122397.0	120781.0
-909	121980.0	120765.0
-908	121863.0	121433.0
-907	122180.0	120863.0
-906	122279.0	120611.0
-905	122350.0	120286.0
-904	122128.0	120570.0
-903	122334.0	120769.0
-902	122523.0	120762.0
-901	122703.0	121112.0
-900	122140.0	121157.0
-899	122786.0	120027.0
-898	122783.0	121865.0
-897	122613.0	120758.0
-896	122929.0	121249.0
-895	122255.0	120821.0
-894	122410.0	120673.0
-893	122710.0	121057.0
-892	122644.0	121056.0
-891	123011.0	120852.0
-890	121913.0	120409.0
-889	122429.0	121285.0
-888	122812.0	121654.0
-887	122871.0	120630.0
-886	122118.0	120749.0
-885	122311.0	121052.0
-884	123104.0	121528.0
-883	122074.0	121144.0
-882	122841.0	120959.0
-881	122404.0	120614.0
-880	122977.0	121094.0
-879	122227.0	121606.0
-878	122602.0	120309.0
-877	122014.0	121331.0
-876	122741.0	121473.0
-875	122899.0	120648.0
-874	123019.0	120764.0
-873	123045.0	121315.0
-872	122054.0	121018.0
-871	122437.0	120352.0
-870	122431.0	121031.0
-869	123078.0	121409.0
-868	122350.0	120912.0
-867	122400.0	121062.0
-866	122810.0	121379.0
-865	122700.0	121663.0
-864	122113.0	121245.0
-863	122709.0	120577.0
-862	123135.0	121101.0
-861	123024.0	121329.0
-860	122699.0	121180.0
-859	123368.0	121005.0
-858	122045.0	121157.0
-857	122396.0	120917.0
-856	122779.0	121195.0
-855	123081.0	121326.0
-854	122795.0	121874.0
-853	122967.0	121684.0
-852	122878.0	121147.0
-851	122580.0	121852.0
-850	123029.0	121223.0
-849	122846.0	120686.0
-848	122903.0	121726.0
-847	123787.0	120948.0
-846	122615.0	120841.0
-845	122693.0	122088.0
-844	122935.0	121413.0
-843	122980.0	120990.0
-842	122451.0	121547.0
-841	123096.0	121292.0
-840	122550.0	121869.0
-839	123048.0	121522.0
-838	122822.0	121183.0
-837	122506.0	120878.0
-836	122897.0	121778.0
-835	123276.0	121532.0
-834	123056.0	121487.0
-833	123138.0	121702.0
-832	123394.0	121792.0
-831	123022.0	121055.0
-830	122462.0	121434.0
-829	123062.0	121438.0
-828	122739.0	121384.0
-827	123266.0	121065.0
-826	122920.0	121861.0
-825	123310.0	121942.0
-824	123211.0	122072.0
-823	122973.0	121261.0
-822	122190.0	121661.0
-821	123508.0	121599.0
-820	122532.0	121959.0
-819	123371.0	121250.0
-818	123969.0	121868.0
-817	123121.0	121923.0
-816	122905.0	121372.0
-815	123627.0	120982.0
-814	123229.0	120993.0
-813	122818.0	121649.0
-812	124211.0	121437.0
-811	124029.0	121953.0
-810	123018.0	122503.0
-809	122942.0	121773.0
-808	123679.0	122158.0
-807	123228.0	121585.0
-806	123176.0	121938.0
-805	122670.0	121797.0
-804	123745.0	121993.0
-803	123994.0	121409.0
-802	123611.0	121926.0
-801	123507.0	121719.0
-800	123118.0	121576.0
-799	123553.0	121733.0
-798	123823.0	122181.0
-797	123327.0	121898.0
-796	123573.0	121812.0
-795	123492.0	122178.0
-794	123231.0	121950.0
-793	123314.0	121543.0
-792	123309.0	121952.0
-791	123252.0	121699.0
-790	123515.0	122210.0
-789	123363.0	121427.0
-788	124081.0	121554.0
-787	123469.0	121207.0
-786	123751.0	122370.0
-785	123934.0	122303.0
-784	124233.0	121314.0
-783	123579.0	122205.0
-782	122867.0	121611.0
-781	123054.0	122208.0
-780	123759.0	122205.0
-779	123561.0	121704.0
-778	123747.0	122719.0
-777	123692.0	121578.0
-776	123949.0	122568.0
-775	124286.0	121458.0
-774	123881.0	122302.0
-773	123464.0	122100.0
-772	123839.0	122077.0
-771	123420.0	121660.0
-770	124139.0	122099.0
-769	123551.0	122135.0
-768	123865.0	121808.0
-767	123854.0	121540.0
-766	124083.0	122000.0
-765	123164.0	121971.0
-764	124194.0	122415.0
-763	123905.0	121960.0
-762	123947.0	122198.0
-761	124375.0	122098.0
-760	123975.0	121995.0
-759	123869.0	122195.0
-758	123281.0	122189.0
-757	123918.0	121920.0
-756	124179.0	122169.0
-755	123322.0	122987.0
-754	124567.0	121954.0
-753	123587.0	122179.0
-752	124008.0	122946.0
-751	124173.0	121820.0
-750	124404.0	122782.0
-749	123846.0	122468.0
-748	124382.0	122094.0
-747	123422.0	122309.0
-746	123897.0	122796.0
-745	124139.0	122220.0
-744	124283.0	122618.0
-743	123484.0	122281.0
-742	123922.0	122403.0
-741	124088.0	122557.0
-740	124578.0	122513.0
-739	124040.0	122937.0
-738	124611.0	122089.0
-737	124248.0	122447.0
-736	124600.0	122602.0
-735	124401.0	122798.0
-734	123991.0	122289.0
-733	124149.0	121950.0
-732	124118.0	122155.0
-731	124153.0	122773.0
-730	124054.0	122397.0
-729	124480.0	122272.0
-728	123827.0	122375.0
-727	123846.0	122399.0
-726	124381.0	122632.0
-725	123942.0	122360.0
-724	123859.0	122876.0
-723	124211.0	122381.0
-722	124233.0	122572.0
-721	124286.0	123066.0
-720	124252.0	122343.0
-719	124143.0	122467.0
-718	124336.0	122803.0
-717	124355.0	122923.0
-716	124488.0	122667.0
-715	124354.0	122559.0
-714	124391.0	122548.0
-713	124439.0	122864.0
-712	124612.0	122129.0
-711	124624.0	122730.0
-710	124368.0	122924.0
-709	124311.0	122801.0
-708	124653.0	122230.0
-707	124417.0	122714.0
-706	124255.0	122965.0
-705	124508.0	123296.0
-704	124379.0	122470.0
-703	125162.0	122751.0
-702	124268.0	123381.0
-701	125397.0	122862.0
-700	124706.0	123196.0
-699	124355.0	122962.0
-698	123955.0	122650.0
-697	124482.0	122876.0
-696	124573.0	123258.0
-695	125257.0	122361.0
-694	124724.0	123137.0
-693	124650.0	123177.0
-692	124179.0	122942.0
-691	124819.0	123103.0
-690	125069.0	122521.0
-689	125117.0	122944.0
-688	125413.0	122543.0
-687	124420.0	123471.0
-686	125419.0	122568.0
-685	125133.0	122617.0
-684	124741.0	122925.0
-683	124914.0	123281.0
-682	124337.0	122687.0
-681	125020.0	122584.0
-680	124616.0	123091.0
-679	124803.0	122586.0
-678	124775.0	123114.0
-677	124320.0	123468.0
-676	124832.0	123026.0
-675	124920.0	122783.0
-674	124322.0	123616.0
-673	124833.0	123562.0
-672	125414.0	123414.0
-671	125169.0	123473.0
-670	125559.0	122846.0
-669	125248.0	123039.0
-668	125321.0	122940.0
-667	125456.0	122841.0
-666	124760.0	123343.0
-665	125075.0	122257.0
-664	125067.0	123151.0
-663	124645.0	123192.0
-662	125135.0	123360.0
-661	125151.0	123261.0
-660	124549.0	122782.0
-659	124979.0	123130.0
-658	124942.0	123061.0
-657	125424.0	123277.0
-656	125353.0	123410.0
-655	124800.0	123545.0
-654	125472.0	123113.0
-653	125142.0	123358.0
-652	125218.0	123643.0
-651	125469.0	123172.0
-650	125259.0	122976.0
-649	124949.0	123227.0
-648	125688.0	123338.0
-647	125346.0	123715.0
-646	126572.0	123306.0
-645	126012.0	123173.0
-644	125042.0	123122.0
-643	124838.0	124188.0
-642	125386.0	123547.0
-641	125831.0	123484.0
-640	125703.0	123425.0
-639	125688.0	123464.0
-638	125630.0	123149.0
-637	125772.0	123652.0
-636	125016.0	123155.0
-635	125350.0	123736.0
-634	125487.0	123457.0
-633	124969.0	123492.0
-632	126190.0	123671.0
-631	125729.0	123993.0
-630	125558.0	123483.0
-629	125570.0	123859.0
-628	125649.0	123251.0
-627	125697.0	123725.0
-626	125301.0	123668.0
-625	125828.0	124139.0
-624	125581.0	123739.0
-623	125237.0	122809.0
-622	126201.0	123128.0
-621	124748.0	123956.0
-620	125264.0	123356.0
-619	126104.0	122918.0
-618	125601.0	123333.0
-617	125670.0	123786.0
-616	125857.0	123814.0
-615	125615.0	123879.0
-614	126275.0	123964.0
-613	125521.0	123381.0
-612	125790.0	124055.0
-611	126370.0	124060.0
-610	125524.0	123590.0
-609	125727.0	123791.0
-608	125636.0	123413.0
-607	125917.0	124215.0
-606	125429.0	123570.0
-605	125000.0	123751.0
-604	126083.0	123968.0
-603	125554.0	123489.0
-602	125940.0	123990.0
-601	125649.0	123729.0
-600	126031.0	124602.0
-599	125851.0	124598.0
-598	126181.0	124387.0
-597	125655.0	123914.0
-596	126029.0	123972.0
-595	126243.0	123729.0
-594	126454.0	124079.0
-593	126246.0	124451.0
-592	125903.0	123787.0
-591	125884.0	124590.0
-590	126147.0	123880.0
-589	126230.0	124117.0
-588	125477.0	124552.0
-587	126508.0	124281.0
-586	126260.0	123224.0
-585	126326.0	123543.0
-584	126431.0	124175.0
-583	125982.0	123930.0
-582	126011.0	124261.0
-581	126923.0	124848.0
-580	125857.0	124209.0
-579	126099.0	123979.0
-578	126054.0	124090.0
-577	125999.0	124798.0
-576	126736.0	124195.0
-575	125701.0	124567.0
-574	126256.0	124258.0
-573	126709.0	124766.0
-572	126083.0	123981.0
-571	126819.0	124456.0
-570	126135.0	123904.0
-569	126770.0	124123.0
-568	126301.0	124373.0
-567	126021.0	124503.0
-566	126253.0	124261.0
-565	126315.0	124225.0
-564	126171.0	124797.0
-563	126596.0	124389.0
-562	126609.0	123525.0
-561	126841.0	124383.0
-560	126343.0	124891.0
-559	127203.0	124180.0
-558	126270.0	124091.0
-557	126451.0	124911.0
-556	126597.0	124531.0
-555	125972.0	124517.0
-554	126606.0	123891.0
-553	127090.0	124588.0
-552	126205.0	124634.0
-551	126808.0	123964.0
-550	126363.0	124704.0
-549	126670.0	124449.0
-548	126837.0	124449.0
-547	126620.0	124601.0
-546	127326.0	124624.0
-545	126349.0	124919.0
-544	126740.0	124354.0
-543	126872.0	124249.0
-542	127257.0	124580.0
-541	126496.0	124785.0
-540	126588.0	124065.0
-539	126741.0	124932.0
-538	126849.0	123920.0
-537	127299.0	124970.0
-536	126572.0	124950.0
-535	127345.0	125003.0
-534	127317.0	124233.0
-533	126624.0	124795.0
-532	127069.0	124518.0
-531	126692.0	124605.0
-530	127118.0	124705.0
-529	127370.0	124755.0
-528	127152.0	124733.0
-527	126821.0	124215.0
-526	127907.0	125103.0
-525	126968.0	125330.0
-524	127420.0	124163.0
-523	127418.0	125014.0
-522	126569.0	124913.0
-521	126962.0	124443.0
-520	126951.0	124902.0
-519	126991.0	124702.0
-518	126728.0	124902.0
-517	127500.0	124607.0
-516	127089.0	124124.0
-515	127137.0	125170.0
-514	127399.0	124907.0
-513	127347.0	124543.0
-512	127323.0	125375.0
-511	127737.0	124538.0
-510	128161.0	124577.0
-509	127360.0	125816.0
-508	126952.0	125180.0
-507	127654.0	124845.0
-506	127389.0	125896.0
-505	126860.0	124921.0
-504	127185.0	124347.0
-503	127764.0	125682.0
-502	127320.0	125487.0
-501	127208.0	125416.0
-500	127192.0	125278.0
-499	126988.0	124462.0
-498	127483.0	125188.0
-497	127723.0	125352.0
-496	127995.0	124950.0
-495	127606.0	125543.0
-494	127473.0	125441.0
-493	127355.0	125427.0
-492	127859.0	125243.0
-491	127961.0	125147.0
-490	127472.0	125133.0
-489	127447.0	125026.0
-488	127858.0	125215.0
-487	127805.0	125495.0
-486	128143.0	125613.0
-485	127379.0	125334.0
-484	128156.0	125608.0
-483	128258.0	125733.0
-482	127575.0	125313.0
-481	128015.0	125160.0
-480	127630.0	124983.0
-479	127904.0	125360.0
-478	127488.0	125653.0
-477	128061.0	125644.0
-476	127861.0	125484.0
-475	127800.0	125608.0
-474	128074.0	125196.0
-473	128592.0	125806.0
-472	127567.0	125724.0
-471	127898.0	125808.0
-470	127710.0	125810.0
-469	128068.0	125237.0
-468	127858.0	125862.0
-467	128209.0	125169.0
-466	128308.0	125158.0
-465	127983.0	125536.0
-464	128800.0	125992.0
-463	127926.0	125047.0
-462	128537.0	125802.0
-461	128260.0	125217.0
-460	128451.0	125699.0
-459	128248.0	125401.0
-458	127840.0	125675.0
-457	128518.0	125472.0
-456	128040.0	125392.0
-455	128117.0	124943.0
-454	128403.0	125668.0
-453	128642.0	126178.0
-452	127913.0	125564.0
-451	128042.0	125647.0
-450	128276.0	125850.0
-449	128859.0	125947.0
-448	128076.0	125574.0
-447	128338.0	125309.0
-446	128505.0	125720.0
-445	128711.0	125676.0
-444	128700.0	125135.0
-443	128840.0	125954.0
-442	128480.0	126279.0
-441	128182.0	125731.0
-440	128988.0	126033.0
-439	128766.0	126041.0
-438	128276.0	126563.0
-437	128800.0	125965.0
-436	128646.0	126384.0
-435	128281.0	126628.0
-434	128418.0	126795.0
-433	128502.0	125937.0
-432	128889.0	125841.0
-431	129099.0	125878.0
-430	129189.0	126249.0
-429	128665.0	125849.0
-428	128626.0	126820.0
-427	129171.0	125937.0
-426	129039.0	125605.0
-425	128941.0	126793.0
-424	128577.0	126110.0
-423	129215.0	126696.0
-422	128593.0	126354.0
-421	129032.0	126266.0
-420	128423.0	126388.0
-419	128501.0	126714.0
-418	128903.0	126322.0
-417	129101.0	125963.0
-416	129099.0	126469.0
-415	129402.0	126460.0
-414	129466.0	126532.0
-413	128941.0	126257.0
-412	129201.0	126223.0
-411	128973.0	126079.0
-410	129355.0	125955.0
-409	129013.0	126141.0
-408	129618.0	126306.0
-407	129796.0	126445.0
-406	129324.0	126198.0
-405	129107.0	127108.0
-404	128767.0	126654.0
-403	129353.0	126464.0
-402	129194.0	126574.0
-401	129460.0	126035.0
-400	128994.0	126744.0
-399	129063.0	126755.0
-398	128957.0	126341.0
-397	129109.0	126429.0
-396	129270.0	126699.0
-395	129484.0	126842.0
-394	129558.0	127459.0
-393	129710.0	127140.0
-392	129964.0	126767.0
-391	128799.0	126899.0
-390	128781.0	126971.0
-389	129487.0	126197.0
-388	129533.0	127263.0
-387	129150.0	126895.0
-386	129027.0	126828.0
-385	129332.0	126937.0
-384	129524.0	126864.0
-383	130056.0	127155.0
-382	129501.0	127285.0
-381	129573.0	127258.0
-380	129442.0	126903.0
-379	129391.0	127161.0
-378	129621.0	127065.0
-377	129209.0	126596.0
-376	129333.0	126343.0
-375	130329.0	126363.0
-374	130392.0	126714.0
-373	129636.0	127567.0
-372	129913.0	126870.0
-371	129596.0	127255.0
-370	129320.0	127348.0
-369	130142.0	126975.0
-368	129482.0	126912.0
-367	130206.0	126563.0
-366	129624.0	126324.0
-365	129679.0	127566.0
-364	130232.0	126921.0
-363	130661.0	127028.0
-362	130214.0	127660.0
-361	129981.0	127297.0
-360	130890.0	126976.0
-359	130337.0	127029.0
-358	130455.0	127398.0
-357	129093.0	127412.0
-356	130474.0	127542.0
-355	130576.0	127015.0
-354	130045.0	127170.0
-353	130052.0	127911.0
-352	130139.0	127176.0
-351	130208.0	127447.0
-350	130041.0	126825.0
-349	130139.0	127364.0
-348	130410.0	126854.0
-347	130743.0	127655.0
-346	130350.0	127370.0
-345	130527.0	127462.0
-344	131155.0	127754.0
-343	130529.0	126831.0
-342	130615.0	127465.0
-341	130479.0	127666.0
-340	130330.0	127810.0
-339	130466.0	128087.0
-338	130370.0	127189.0
-337	131395.0	127597.0
-336	130215.0	127754.0
-335	130486.0	127624.0
-334	130224.0	127985.0
-333	130850.0	127635.0
-332	130473.0	128522.0
-331	131151.0	128282.0
-330	130577.0	127558.0
-329	130605.0	127408.0
-328	130579.0	127583.0
-327	131035.0	127331.0
-326	130671.0	127944.0
-325	130721.0	127636.0
-324	130837.0	127731.0
-323	130278.0	128210.0
-322	131224.0	127587.0
-321	130817.0	128130.0
-320	131417.0	128014.0
-319	130963.0	128207.0
-318	130325.0	128611.0
-317	131559.0	127992.0
-316	131406.0	128156.0
-315	130916.0	127492.0
-314	130903.0	128079.0
-313	130708.0	127791.0
-312	131102.0	128018.0
-311	131020.0	128366.0
-310	131039.0	128122.0
-309	131556.0	128775.0
-308	131004.0	128049.0
-307	131591.0	127582.0
-306	131443.0	127859.0
-305	131576.0	128022.0
-304	131169.0	128208.0
-303	131166.0	128352.0
-302	131583.0	128628.0
-301	131714.0	127925.0
-300	131500.0	128506.0
-299	131280.0	128456.0
-298	131437.0	127930.0
-297	131168.0	127995.0
-296	131122.0	127777.0
-295	131404.0	128498.0
-294	131608.0	128721.0
-293	131321.0	127933.0
-292	132102.0	128306.0
-291	131583.0	128476.0
-290	131465.0	128902.0
-289	131839.0	128537.0
-288	131640.0	127950.0
-287	132295.0	128596.0
-286	131786.0	128032.0
-285	131854.0	128006.0
-284	131079.0	128439.0
-283	131948.0	127948.0
-282	131706.0	128554.0
-281	132181.0	127774.0
-280	131459.0	128624.0
-279	132195.0	128400.0
-278	131965.0	128759.0
-277	131668.0	128440.0
-276	132532.0	128606.0
-275	132464.0	128315.0
-274	131832.0	128904.0
-273	132172.0	128939.0
-272	132281.0	128570.0
-271	132643.0	129371.0
-270	132304.0	128660.0
-269	132389.0	128935.0
-268	132152.0	128759.0
-267	133317.0	129151.0
-266	132380.0	129054.0
-265	132782.0	129009.0
-264	132859.0	128833.0
-263	132331.0	129187.0
-262	132929.0	128827.0
-261	133336.0	128907.0
-260	132831.0	129097.0
-259	132888.0	128813.0
-258	132609.0	129152.0
-257	132916.0	128982.0
-256	133337.0	128351.0
-255	133075.0	128637.0
-254	133733.0	129456.0
-253	133348.0	128481.0
-252	133559.0	128730.0
-251	133004.0	128836.0
-250	133249.0	128794.0
-249	133685.0	129380.0
-248	133944.0	128897.0
-247	134208.0	128939.0
-246	133769.0	128425.0
-245	133893.0	129498.0
-244	134282.0	128767.0
-243	133953.0	128838.0
-242	134585.0	129150.0
-241	134303.0	128484.0
-240	134038.0	129174.0
-239	134317.0	129536.0
-238	134091.0	129291.0
-237	133803.0	129815.0
-236	134551.0	129332.0
-235	133896.0	128712.0
-234	135123.0	129346.0
-233	134019.0	129194.0
-232	134258.0	128889.0
-231	134501.0	129131.0
-230	134563.0	129612.0
-229	133944.0	129191.0
-228	133978.0	129662.0
-227	135267.0	129741.0
-226	134840.0	129193.0
-225	134749.0	129306.0
-224	134485.0	129293.0
-223	134719.0	130039.0
-222	135275.0	130072.0
-221	135545.0	129826.0
-220	134937.0	129629.0
-219	134957.0	129831.0
-218	134618.0	129986.0
-217	135608.0	129838.0
-216	135426.0	129846.0
-215	134910.0	129411.0
-214	135338.0	129529.0
-213	135153.0	129603.0
-212	135357.0	129607.0
-211	135352.0	130085.0
-210	135220.0	130294.0
-209	135278.0	129751.0
-208	135370.0	130561.0
-207	135720.0	129903.0
-206	134899.0	130171.0
-205	136066.0	130456.0
-204	135697.0	129089.0
-203	135822.0	129753.0
-202	136030.0	129946.0
-201	136845.0	129529.0
-200	136054.0	130149.0
-199	136114.0	130357.0
-198	136679.0	130005.0
-197	136137.0	130456.0
-196	136636.0	129630.0
-195	136424.0	130591.0
-194	136385.0	130419.0
-193	136346.0	130974.0
-192	136455.0	130220.0
-191	137101.0	130430.0
-190	136850.0	130618.0
-189	136900.0	130824.0
-188	137011.0	130558.0
-187	137313.0	130186.0
-186	137706.0	130485.0
-185	137560.0	130854.0
-184	137060.0	130123.0
-183	136678.0	130636.0
-182	137311.0	130772.0
-181	137666.0	130677.0
-180	137497.0	130665.0
-179	137569.0	131072.0
-178	137609.0	130806.0
-177	137871.0	131343.0
-176	138074.0	131244.0
-175	138356.0	130998.0
-174	137088.0	130351.0
-173	138173.0	130492.0
-172	138832.0	130659.0
-171	138563.0	131026.0
-170	137771.0	130048.0
-169	138390.0	130555.0
-168	138769.0	130080.0
-167	138564.0	130795.0
-166	138772.0	131117.0
-165	138815.0	130588.0
-164	138525.0	130679.0
-163	138439.0	130635.0
-162	138416.0	131066.0
-161	138138.0	130367.0
-160	138657.0	131324.0
-159	139766.0	130482.0
-158	139229.0	130558.0
-157	138658.0	130469.0
-156	139323.0	130903.0
-155	139686.0	130777.0
-154	139795.0	131121.0
-153	139225.0	130677.0
-152	139356.0	131033.0
-151	139768.0	130984.0
-150	139873.0	130343.0
-149	139625.0	131358.0
-148	139617.0	130862.0
-147	139935.0	130967.0
-146	140028.0	130657.0
-145	139562.0	131064.0
-144	139617.0	130486.0
-143	140016.0	130400.0
-142	140299.0	130555.0
-141	139852.0	131339.0
-140	140510.0	131121.0
-139	139995.0	131920.0
-138	140514.0	131266.0
-137	140453.0	131188.0
-136	140708.0	131584.0
-135	140273.0	130832.0
-134	140402.0	131254.0
-133	140150.0	131330.0
-132	140040.0	130894.0
-131	140823.0	131696.0
-130	140754.0	131758.0
-129	140710.0	131069.0
-128	140755.0	131843.0
-127	141109.0	131859.0
-126	140922.0	131385.0
-125	141504.0	131608.0
-124	141302.0	132144.0
-123	141864.0	131396.0
-122	141005.0	131907.0
-121	141250.0	132182.0
-120	141029.0	132233.0
-119	141568.0	131876.0
-118	141196.0	131669.0
-117	142052.0	132446.0
-116	141799.0	132315.0
-115	142423.0	132170.0
-114	142013.0	132112.0
-113	141919.0	132057.0
-112	141619.0	132206.0
-111	141904.0	132665.0
-110	141603.0	131847.0
-109	142349.0	132038.0
-108	142187.0	132708.0
-107	141884.0	132631.0
-106	142528.0	132728.0
-105	142227.0	132692.0
-104	142583.0	132675.0
-103	142278.0	132559.0
-102	142600.0	132749.0
-101	142681.0	132840.0
-100	143655.0	132756.0
-99	142842.0	132196.0
-98	142430.0	133024.0
-97	142937.0	132876.0
-96	142974.0	132218.0
-95	143461.0	132624.0
-94	144219.0	132619.0
-93	143740.0	132692.0
-92	143638.0	133353.0
-91	143049.0	133535.0
-90	144339.0	133609.0
-89	143538.0	133237.0
-88	144012.0	132865.0
-87	143942.0	132565.0
-86	143227.0	133026.0
-85	143636.0	132702.0
-84	144294.0	133437.0
-83	144253.0	133084.0
-82	145094.0	133427.0
-81	143545.0	133297.0
-80	144560.0	133876.0
-79	144890.0	133614.0
-78	145364.0	133908.0
-77	145132.0	132924.0
-76	145217.0	133632.0
-75	144764.0	133878.0
-74	144769.0	134040.0
-73	145415.0	133603.0
-72	145105.0	133667.0
-71	145576.0	134292.0
-70	145227.0	133922.0
-69	145990.0	134129.0
-68	145025.0	134105.0
-67	145671.0	134109.0
-66	145636.0	133831.0
-65	146015.0	134401.0
-64	146127.0	134110.0
-63	146001.0	133704.0
-62	146127.0	134259.0
-61	145989.0	134398.0
-60	145954.0	134702.0
-59	146377.0	134418.0
-58	146423.0	133936.0
-57	145967.0	134157.0
-56	146350.0	134339.0
-55	146304.0	134737.0
-54	146232.0	134386.0
-53	146398.0	135192.0
-52	146372.0	134652.0
-51	146307.0	134817.0
-50	146564.0	134932.0
-49	147310.0	134582.0
-48	147664.0	134914.0
-47	147061.0	134697.0
-46	147143.0	135195.0
-45	146887.0	134938.0
-44	146455.0	135252.0
-43	147063.0	135620.0
-42	147594.0	135354.0
-41	147215.0	135925.0
-40	147585.0	135582.0
-39	148541.0	136011.0
-38	148052.0	135695.0
-37	148313.0	136106.0
-36	148529.0	136085.0
-35	147742.0	136220.0
-34	149229.0	136627.0
-33	149514.0	136393.0
-32	149046.0	136498.0
-31	149433.0	136820.0
-30	149573.0	136939.0
-29	149798.0	137038.0
-28	149654.0	137189.0
-27	150066.0	137383.0
-26	150861.0	137532.0
-25	150728.0	137613.0
-24	151552.0	137134.0
-23	151232.0	137714.0
-22	151775.0	136527.0
-21	151868.0	137627.0
-20	153329.0	137551.0
-19	153326.0	137937.0
-18	153246.0	137647.0
-17	153329.0	138108.0
-16	153072.0	137302.0
-15	153795.0	137086.0
-14	154777.0	137721.0
-13	154462.0	137073.0
-12	153968.0	137889.0
-11	154982.0	137877.0
-10	155368.0	137186.0
-9	156003.0	137364.0
-8	156372.0	136843.0
-7	156983.0	137326.0
-6	157898.0	136977.0
-5	158402.0	137413.0
-4	159045.0	137424.0
-3	159036.0	138356.0
-2	161199.0	137665.0
-1	164846.0	138698.0
0	52956.0	137545.0
1	164079.0	137136.0
2	160758.0	137815.0
3	159583.0	137199.0
4	159117.0	137277.0
5	158978.0	137099.0
6	158083.0	137022.0
7	157138.0	137315.0
8	156862.0	137469.0
9	156370.0	137719.0
10	155948.0	137710.0
11	155463.0	137704.0
12	154614.0	137849.0
13	154304.0	137467.0
14	154601.0	138264.0
15	154189.0	138518.0
16	154002.0	138047.0
17	152528.0	138568.0
18	154083.0	138533.0
19	153144.0	138552.0
20	153064.0	138622.0
21	152764.0	139319.0
22	153118.0	139002.0
23	151789.0	139831.0
24	151798.0	140269.0
25	151137.0	140097.0
26	151533.0	140221.0
27	150604.0	140271.0
28	150590.0	141031.0
29	150987.0	140752.0
30	149559.0	141368.0
31	149499.0	141262.0
32	149426.0	141211.0
33	149522.0	141664.0
34	149151.0	141941.0
35	149462.0	142053.0
36	148415.0	142326.0
37	149618.0	141587.0
38	148605.0	141576.0
39	148413.0	142397.0
40	148381.0	142374.0
41	147711.0	142681.0
42	148019.0	143293.0
43	147834.0	143161.0
44	147281.0	143518.0
45	146821.0	143968.0
46	147826.0	143965.0
47	147925.0	143512.0
48	147486.0	144777.0
49	147021.0	145006.0
50	146977.0	144304.0
51	146853.0	145329.0
52	146571.0	145172.0
53	146504.0	146426.0
54	147099.0	146406.0
55	146298.0	146486.0
56	147093.0	146437.0
57	146887.0	146506.0
58	147001.0	146931.0
59	146151.0	146738.0
60	146487.0	147212.0
61	146024.0	146788.0
62	146502.0	147051.0
63	145811.0	147294.0
64	146561.0	147241.0
65	146663.0	147516.0
